airlineIataCode,airlineName,airlineName_trimmed
JO,조니카 항공,조니카항공
R5,요르단 항공,요르단항공
JR,조이 에어,조이에어
XE,JSX 항공,JSX항공
3J,주바 항공 소말리아,주바항공소말리아
HO,준야오 항공,준야오항공
IM,주피터 제트,주피터제트
K4,칼리타 에어,칼리타에어
K9,칼리타 차터,칼리타차터
RQ,캄 에어,캄에어
NV,카룬 항공,카룬항공
FK,키와틴 에어,키와틴에어
M5,켄모어 에어,켄모어에어
4K,켄보렉 에어,켄보렉에어
KQ,케냐 항공,케냐항공
KG,키라임 에어,키라임에어
FK,KF 카고,KF카고
WA,KLM 시티호퍼,KLM시티호퍼
KL,KLM 네덜란드 항공,KLM네덜란드항공
KM,KM 몰타 항공,KM몰타항공
8K,케이마일 아시아,케이마일아시아
KO,코미 아비아트랜스,코미아비아트랜스
KE,대한 항공,대한항공
KV,크라스아비아,크라스아비아
KY,쿤밍 항공,쿤밍항공
KU,쿠웨이트 항공,쿠웨이트항공
B0,라 콤페니,라콤페니
LC,라 코스테나,라코스테나
TM,람 모잠비크 항공,람모잠비크항공
5A,라넥상 에어웨이즈 인터내셔널,라넥상에어웨이즈인터내셔널
